_id,translate,type,word
62642ccffc65febd7527eb3a,живот,nomen substantivum,abdomen
62642cd0fc65febd7527eb3b,брюшной,nomen adjectivum,abdominalis
62642cd0fc65febd7527eb3c,отводящий,participium,abducens
62642cd0fc65febd7527eb3d,мышца,nomen substantivum,abductor
62642cd1fc65febd7527eb3e,отклоняющийся,participium,aberrans
62642cd1fc65febd7527eb3f,добавочный,nomen adjectivum,accessorius
62642cd1fc65febd7527eb40,вертлужный,nomen adjectivum,acetabularis
62642cd1fc65febd7527eb41,впадина,nomen substantivum,acetabulum
62642cd1fc65febd7527eb42,Ахилл,nomen substantivum,Achilles
62642cd1fc65febd7527eb43,акромиальный,nomen adjectivum,acromialis
62642cd1fc65febd7527eb44,акромиальноключичный,nomen adjectivum,acromioclavicularis
62642cd1fc65febd7527eb45,акромион,nomen substantivum,acromion
62642cd1fc65febd7527eb46,слуховой,nomen substantivum,acusticus
62642cd1fc65febd7527eb47,мышца,nomen substantivum,adductor
62642cd1fc65febd7527eb48,приводящий,participium,adductorius
62642cd2fc65febd7527eb49,аденогипофиз,nomen substantivum,adenohypophisis
62642cd2fc65febd7527eb4a,аденоидный,nomen adjectivum,adenoideus
62642cd2fc65febd7527eb4b,сращение,nomen substantivum,adhesio
62642cd2fc65febd7527eb4c,жировой,nomen substantivum,adiposus
62642cd2fc65febd7527eb4d,вход,nomen substantivum,aditus
62642cd2fc65febd7527eb4e,подпора,nomen substantivum,adminiculum
62642cd2fc65febd7527eb4f,придатки,nomen substantivum,adnexa
62642cd2fc65febd7527eb50,надпочечный,nomen adjectivum,adrenalis
62642cd2fc65febd7527eb51,адвентициальный,nomen adjectivum,adventitius
62642cd2fc65febd7527eb52,чувствительный,nomen adjectivum,afferens
62642cd2fc65febd7527eb53,прикреплённый,participium,affixus
62642cd2fc65febd7527eb54,валик,nomen substantivum,agger
62642cd2fc65febd7527eb55,гpуппoвой,nomen adjectivum,aggeratus
62642cd3fc65febd7527eb56,крыло,verbum,ala
62642cd3fc65febd7527eb57,крыловидный,nomen adjectivum,alaris
62642cd3fc65febd7527eb58,беловатый,nomen adjectivum,albicans
62642cd3fc65febd7527eb59,белочный,nomen adjectivum,albugenius
62642cd3fc65febd7527eb5a,белый,nomen adjectivum,albus
62642cd3fc65febd7527eb5b,альвеолярный,nomen adjectivum,alveolaris
62642cd3fc65febd7527eb5c,альвеола,nomen substantivum,alveolus
62642cd3fc65febd7527eb5d,лоток,nomen substantivum,alveus
62642cd3fc65febd7527eb5e,двойной,nomen adjectivum,ambiguus
62642cd3fc65febd7527eb5f,плащ,participium,amiculum
62642cd3fc65febd7527eb60,ампула,nomen substantivum,ampulla
62642cd3fc65febd7527eb61,ампулярный,nomen adjectivum,ampullaris
62642cd4fc65febd7527eb62,миндалевидный,nomen adjectivum,amygdaloideus
62642cd4fc65febd7527eb63,заднепроходной,nomen adjectivum,analis
62642cd4fc65febd7527eb64,анастомоз,nomen substantivum,anastomosis
62642cd4fc65febd7527eb65,анастомотический,nomen adjectivum,anastomoticus
62642cd4fc65febd7527eb66,анатомический,nomen adjectivum,anatomicus
62642cd4fc65febd7527eb67,локтевой,nomen adjectivum,anconeus
62642cd4fc65febd7527eb68,ангиология,nomen substantivum,angiologia
62642cd4fc65febd7527eb69,угловой,nomen adjectivum,angularis
62642cd4fc65febd7527eb6a,угол,nomen substantivum,angulus
62642cd4fc65febd7527eb6b,безымянный,nomen adjectivum,annularis
62642cd4fc65febd7527eb6c,кольцо,nomen substantivum,annulus
62642cd4fc65febd7527eb6d,заднепроходнокопчиковый,nomen adjectivum,anococcygeus
62642cd4fc65febd7527eb6e,заднепроходно-кожный,nomen adjectivum,anocutaneus
62642cd4fc65febd7527eb6f,прямокишечнозадне-проходный,nomen adjectivum,anorectalis
62642cd5fc65febd7527eb70,петля,nomen substantivum,ansa
62642cd5fc65febd7527eb71,гусиный,nomen adjectivum,anserinus
62642cd5fc65febd7527eb72,предплечью,nomen substantivum,antebrachialis
62642cd5fc65febd7527eb73,предплечье,nomen substantivum,antebrachium
62642cd5fc65febd7527eb74,передний,nomen adjectivum,anterior
62642cd5fc65febd7527eb75,переднедорсальный,nomen adjectivum,anteriodorsalis
62642cd5fc65febd7527eb76,переднелатеральный,nomen adjectivum,anteriolateralis
62642cd5fc65febd7527eb77,переднемедиальный,nomen adjectivum,anteriomedialis
62642cd5fc65febd7527eb78,передневентральный,nomen adjectivum,anteroventralis
62642cd5fc65febd7527eb79,противозавиток,nomen substantivum,anthelix
62642cd5fc65febd7527eb7a,противокозелковый,nomen adjectivum,antitragicus
62642cd5fc65febd7527eb7b,противокозелково-завитковый,nomen adjectivum,antitragohelicinus
62642cd5fc65febd7527eb7c,противокозелок,nomen substantivum,antitragus
62642cd5fc65febd7527eb7d,пещера,nomen substantivum,antrum
62642cd5fc65febd7527eb7e,проход,nomen substantivum,anus
62642cd6fc65febd7527eb7f,аорта,nomen substantivum,aorta
62642cd6fc65febd7527eb80,аортальный,nomen adjectivum,aorticus
62642cd6fc65febd7527eb81,аортопочечный,nomen adjectivum,aortorenalis
62642cd6fc65febd7527eb82,апертура,nomen substantivum,apertura
62642cd6fc65febd7527eb83,верхушка,nomen substantivum,apex
62642cd6fc65febd7527eb84,верхушечный,nomen adjectivum,apicalis
62642cd6fc65febd7527eb85,верхушечнозадний,nomen adjectivum,apicoposterior
62642cd6fc65febd7527eb86,апоневроз,nomen substantivum,aponeurosis
62642cd6fc65febd7527eb87,сухожильный,nomen adjectivum,aponeuroticus
62642cd6fc65febd7527eb88,аппарат,nomen substantivum,apparatus
62642cd6fc65febd7527eb89,аппендикулярный,nomen adjectivum,appendicularis
62642cd6fc65febd7527eb8a,отросток,nomen substantivum,appendix
62642cd6fc65febd7527eb8b,водопровод,nomen substantivum,aqueductus
62642cd7fc65febd7527eb8c,водянистый,nomen adjectivum,aquosus
62642cd7fc65febd7527eb8d,оболочка,nomen substantivum,arachnoidea
62642cd7fc65febd7527eb8e,оболочке,nomen substantivum,arachnoidalis
62642cd7fc65febd7527eb8f,дерево,nomen substantivum,arbor
62642cd7fc65febd7527eb90,мозжечка,nomen substantivum,archeocerebellum
62642cd7fc65febd7527eb91,кора,nomen substantivum,archeocortex
62642cd7fc65febd7527eb92,дугообразный,nomen adjectivum,arcuatus
62642cd7fc65febd7527eb93,дуга,nomen substantivum,arcus
62642cd7fc65febd7527eb94,поле,nomen substantivum,area
62642cd7fc65febd7527eb95,кружок,nomen substantivum,areola
62642cd8fc65febd7527eb96,кружку,nomen substantivum,areolaris
62642cd8fc65febd7527eb97,мышца,nomen substantivum,arrector
62642cd8fc65febd7527eb98,артерия,nomen substantivum,arteria
62642cd8fc65febd7527eb99,артериальный,nomen adjectivum,arterialis
62642cd8fc65febd7527eb9a,артериола,nomen substantivum,arteriola
62642cd8fc65febd7527eb9b,артериоловенуляр-ный,nomen adjectivum,arteriolovenularis
62642cd8fc65febd7527eb9c,артериальный,nomen adjectivum,arteriosus
62642cd8fc65febd7527eb9d,артериовенозный,nomen adjectivum,arteriovenosus
62642cd8fc65febd7527eb9e,артрология,nomen substantivum,arthrologia
62642cd8fc65febd7527eb9f,суставной,nomen adjectivum,artucularis
62642cd8fc65febd7527eba0,сустав,participium,articulatio
62642cd8fc65febd7527eba1,черпалонадгортанный,nomen adjectivum,aryepigloticus
62642cd9fc65febd7527eba2,черпаловидный,nomen adjectivum,arytenoideus
62642cd9fc65febd7527eba3,восходящий,participium,ascendens
62642cd9fc65febd7527eba4,шероховатый,nomen adjectivum,asper
62642cd9fc65febd7527eba5,ассоциация,nomen substantivum,associatio
62642cd9fc65febd7527eba6,атлантовый,nomen adjectivum,atlanticus
62642cd9fc65febd7527eba7,атлантоосевой,nomen adjectivum,atlantoaxialis
62642cd9fc65febd7527eba8,атлантозатылочный,nomen adjectivum,atlantooccipitalis
62642cd9fc65febd7527eba9,атлант,nomen substantivum,atlas
62642cd9fc65febd7527ebaa,предсердный,nomen adjectivum,atrialis
62642cd9fc65febd7527ebab,предсердножелудочковый,nomen adjectivum,atroventricularis
62642cdafc65febd7527ebac,предсердие,nomen substantivum,atrium
62642cdafc65febd7527ebad,слуховой,nomen substantivum,auditivus
62642cdafc65febd7527ebae,слуховой,nomen substantivum,auditorius
62642cdafc65febd7527ebaf,слух,nomen substantivum,auditus
62642cdafc65febd7527ebb0,ушко,adverbium,auricula
62642cdafc65febd7527ebb1,ушковидный,nomen adjectivum,auricularis
62642cdafc65febd7527ebb2,ушновисочный,nomen adjectivum,auriculotemporalis
62642cdafc65febd7527ebb3,ухо,nomen substantivum,auris
62642cdafc65febd7527ebb4,автономный,nomen adjectivum,autonomicus
62642cdafc65febd7527ebb5,птица,nomen substantivum,avis
62642cdafc65febd7527ebb6,осевой,nomen adjectivum,axialis
62642cdafc65febd7527ebb7,подмышечный,nomen adjectivum,axillaris
62642cdafc65febd7527ebb8,позвонок,nomen substantivum,axis
62642cdafc65febd7527ebb9,непарный,nomen adjectivum,azygos
62642cdafc65febd7527ebba,полоска,nomen substantivum,bandaletta
62642cdbfc65febd7527ebbb,борода,nomen substantivum,barba
62642cdbfc65febd7527ebbc,базальный,nomen adjectivum,basalis
62642cdbfc65febd7527ebbd,базилярный,nomen adjectivum,basilaris
62642cdbfc65febd7527ebbe,рук,nomen substantivum,basilicus
62642cdbfc65febd7527ebbf,базион,nomen substantivum,basion
62642cdbfc65febd7527ebc0,основание,nomen substantivum,basis
62642cdbfc65febd7527ebc1,базальнопозвоночный,nomen adjectivum,basivertebralis
62642cdbfc65febd7527ebc2,базальнолатеральный,nomen adjectivum,basolateralis
62642cdbfc65febd7527ebc3,двуглавый,nomen adjectivum,biceps
62642cdbfc65febd7527ebc4,бицепсу,nomen substantivum,bicipitalis
62642cdbfc65febd7527ebc5,двуглавоплечевой,nomen adjectivum,bicipitoradialis
62642cdbfc65febd7527ebc6,мыщелковый,nomen adjectivum,bicondilaris
62642cdbfc65febd7527ebc7,междуреберье,nomen substantivum,bicostae
62642cdbfc65febd7527ebc8,бифуркация,nomen substantivum,bifurcatio
62642cdbfc65febd7527ebc9,раздвоенный,participium,bifurcatus
62642cdcfc65febd7527ebca,желчный,nomen adjectivum,biliaris
62642cdcfc65febd7527ebcb,желчный,nomen adjectivum,bilifer
62642cdcfc65febd7527ebcc,желчный,nomen adjectivum,biliosus
62642cdcfc65febd7527ebcd,двуперистый,nomen adjectivum,bipennatus
62642cdcfc65febd7527ebce,пространство,nomen substantivum,bispinae
62642cdcfc65febd7527ebcf,двубрюшный,nomen adjectivum,biventer
62642cdcfc65febd7527ebd0,плечевой,nomen adjectivum,brachialis
62642cdcfc65febd7527ebd1,плечеголовной,nomen adjectivum,brachiocephalicus
62642cdcfc65febd7527ebd2,плечелучевой,nomen adjectivum,brachioradialis
62642cdcfc65febd7527ebd3,плечо,adverbium,brachium
62642cdcfc65febd7527ebd4,брегма,nomen substantivum,bregma
62642cddfc65febd7527ebd5,короткий,nomen adjectivum,brevis
62642cddfc65febd7527ebd6,Брока,nomen substantivum,Broca
62642cddfc65febd7527ebd7,бронхиальный,nomen adjectivum,bronchialis
62642cddfc65febd7527ebd8,бронхиола,nomen substantivum,bronchiolus
62642cddfc65febd7527ebd9,бронхопищеводный,nomen adjectivum,bronchooesophageus
62642cddfc65febd7527ebda,бронхосредостенный,nomen adjectivum,bronchomediastenalis
62642cddfc65febd7527ebdb,бронхолегочный,nomen adjectivum,bronchopulmonalis
62642cddfc65febd7527ebdc,бронх,nomen substantivum,bronchus
62642cddfc65febd7527ebdd,щека,nomen substantivum,bucca
62642cddfc65febd7527ebde,щечный,nomen adjectivum,buccalis
62642cddfc65febd7527ebdf,мышца,nomen substantivum,buccinator
62642cddfc65febd7527ebe0,щечный,nomen adjectivum,buccinatorius
62642cdefc65febd7527ebe1,щечноглоточный,nomen adjectivum,buccopharyngeus
62642cdefc65febd7527ebe2,бульбарномостовой,nomen adjectivum,bulbopontinus
62642cdefc65febd7527ebe3,луковичноретикулярно­спинномозговой,nomen adjectivum,bulboreticulospinalis
62642cdefc65febd7527ebe4,луковичногубчатый,nomen adjectivum,bulbospongiosus
62642cdefc65febd7527ebe5,бульбоуретральный,nomen adjectivum,bulbourethralis
62642cdefc65febd7527ebe6,бульбус,nomen substantivum,bulbus
62642cdefc65febd7527ebe7,пузырек,nomen substantivum,bulla
62642cdefc65febd7527ebe8,сумка,nomen substantivum,bursa
62642cdefc65febd7527ebe9,слепокишечный,nomen adjectivum,caecalis
62642cdefc65febd7527ebea,кишка,nomen substantivum,caecum
62642cdefc65febd7527ebeb,слепой,nomen substantivum,caecus
62642cdefc65febd7527ebec,пяточнокубовидный,nomen adjectivum,calcaneocuboideus
62642cdffc65febd7527ebed,пяточномолоберцовый,nomen adjectivum,calcaneofibularis
62642cdffc65febd7527ebee,пяточноладьевидный,nomen adjectivum,calcaneonavicularis
62642cdffc65febd7527ebef,пяточный,nomen adjectivum,calcaneus
62642cdffc65febd7527ebf0,кость,nomen substantivum,calcaneus
62642cdffc65febd7527ebf1,шпора,nomen substantivum,calcar
62642cdffc65febd7527ebf2,шпорный,nomen adjectivum,calcarinus
62642cdffc65febd7527ebf3,почка,nomen substantivum,caliculus
62642cdffc65febd7527ebf4,мозолистокраевой,nomen adjectivum,callosomarginalis
62642cdffc65febd7527ebf5,мозолистый,nomen adjectivum,callosus
62642cdffc65febd7527ebf6,черепа,nomen substantivum,calvaria
62642cdffc65febd7527ebf7,пятка,nomen substantivum,calx
62642cdffc65febd7527ebf8,чашка,nomen substantivum,calyx
62642ce0fc65febd7527ebf9,камера,nomen substantivum,camera
62642ce0fc65febd7527ebfa,каналец,nomen substantivum,canaliculus
62642ce0fc65febd7527ebfb,канал,nomen substantivum,canalis
62642ce0fc65febd7527ebfc,клыковой,nomen adjectivum,caninus
62642ce0fc65febd7527ebfd,капиллярный,nomen adjectivum,capillaris
62642ce0fc65febd7527ebfe,головы,nomen substantivum,capillus
62642ce0fc65febd7527ebff,головчатый,nomen adjectivum,capitatus
62642ce0fc65febd7527ec00,головка,nomen substantivum,capitulum
62642ce0fc65febd7527ec01,сумка,nomen substantivum,capsula
62642ce0fc65febd7527ec02,капсулярный,nomen adjectivum,capsulris
62642ce0fc65febd7527ec03,голова,nomen substantivum,caput
62642ce0fc65febd7527ec04,кардия,nomen substantivum,cardia
62642ce0fc65febd7527ec05,кардиальный,nomen adjectivum,cadiacus
62642ce1fc65febd7527ec06,киль,nomen substantivum,carina
62642ce1fc65febd7527ec07,мясистый,nomen adjectivum,carneus
62642ce1fc65febd7527ec08,соннобарабанный,nomen adjectivum,caroticotympanicus
62642ce1fc65febd7527ec09,сонный,nomen adjectivum,caroticus
62642ce1fc65febd7527ec0a,артерия,nomen substantivum,carotis
62642ce1fc65febd7527ec0b,запястный,nomen adjectivum,carpalis
62642ce1fc65febd7527ec0c,запястный,nomen adjectivum,carpeus
62642ce1fc65febd7527ec0d,запястнопястный,nomen adjectivum,carpometacarpeus
62642ce1fc65febd7527ec0e,запястье,nomen substantivum,carpus
62642ce1fc65febd7527ec0f,хрящевой,nomen adjectivum,cartilagineus
62642ce1fc65febd7527ec10,хрящевой,nomen adjectivum,cartilaginosus
62642ce2fc65febd7527ec11,хрящ,nomen adjectivum,cartilago
62642ce2fc65febd7527ec12,мясцо,nomen substantivum,caruncula
62642ce2fc65febd7527ec13,хвост,nomen substantivum,cauda
62642ce2fc65febd7527ec14,каудальный,nomen adjectivum,caudalis
62642ce2fc65febd7527ec15,хвостатый,nomen adjectivum,caudatus
62642ce2fc65febd7527ec16,кавальный,nomen adjectivum,cavalis
62642ce2fc65febd7527ec17,ячейка,nomen substantivum,caverna
62642ce2fc65febd7527ec18,пещеристый,nomen adjectivum,cavernosus
62642ce2fc65febd7527ec19,впадина,nomen substantivum,cavitas
62642ce2fc65febd7527ec1a,полость,nomen substantivum,cavum
62642ce2fc65febd7527ec1b,полый,nomen adjectivum,cavus
62642ce3fc65febd7527ec1c,ячейка,nomen substantivum,cellula
62642ce3fc65febd7527ec1d,цемент,nomen substantivum,cementum
62642ce3fc65febd7527ec1e,центральный,nomen adjectivum,centralis
62642ce3fc65febd7527ec1f,центральносрединный,nomen adjectivum,centromedianus
62642ce3fc65febd7527ec20,центр,nomen substantivum,centrum
62642ce3fc65febd7527ec21,рук,nomen substantivum,cephalicus
62642ce3fc65febd7527ec22,рожковоперстневидный,nomen adjectivum,ceratocricoideus
62642ce3fc65febd7527ec23,рожковоглоточный,nomen adjectivum,ceratopharyngeus
62642ce3fc65febd7527ec24,мозжечковый,nomen adjectivum,cerebellaris
62642ce3fc65febd7527ec25,мозжечковомозговой,nomen adjectivum,cerebellomedullaris
62642ce3fc65febd7527ec26,мозжечок,nomen substantivum,cerebellum
62642ce3fc65febd7527ec27,мозговой,nomen adjectivum,cerebralis
62642ce4fc65febd7527ec28,спинномозговой,nomen adjectivum,cerebrospinalis
62642ce4fc65febd7527ec29,мозг,nomen substantivum,cerebrum
62642ce4fc65febd7527ec2a,матки,nomen substantivum,cervicalis
62642ce4fc65febd7527ec2b,шейногрудной,nomen adjectivum,cervicothoracicus
62642ce4fc65febd7527ec2c,шейка,nomen substantivum,servix
62642ce4fc65febd7527ec2d,перекресток,nomen substantivum,chiasma
62642ce4fc65febd7527ec2e,перекрестный,nomen adjectivum,chiasmaticus
62642ce4fc65febd7527ec2f,хирургический,nomen adjectivum,chirurgicus
62642ce4fc65febd7527ec30,хоаны,nomen substantivum,choanae
62642ce4fc65febd7527ec31,желчный,nomen adjectivum,choledochus
62642ce4fc65febd7527ec32,хрящеязычный,nomen adjectivum,chondroglossus
62642ce4fc65febd7527ec33,хрящеглоточный,nomen adjectivum,chondropharyngeus
62642ce4fc65febd7527ec34,хорда,nomen substantivum,chorda
62642ce4fc65febd7527ec35,оболочка,nomen substantivum,choridea
62642ce4fc65febd7527ec36,ворсинчатый,nomen adjectivum,chorideus
62642ce5fc65febd7527ec37,сосудистокапиллярный,nomen adjectivum,choroidocapillaris
62642ce5fc65febd7527ec38,протока,nomen substantivum,chylus
62642ce5fc65febd7527ec39,ресничный,nomen adjectivum,ciliaris
62642ce5fc65febd7527ec3a,ресница,nomen substantivum,cilium
62642ce5fc65febd7527ec3b,серый,nomen adjectivum,cinereus
62642ce5fc65febd7527ec3c,поясной,nomen adjectivum,cingularis
62642ce5fc65febd7527ec3d,поясной,nomen adjectivum,cingulatus
62642ce5fc65febd7527ec3e,пояс,verbum,cingulum
62642ce5fc65febd7527ec3f,циркулярный,nomen adjectivum,circularis
62642ce5fc65febd7527ec40,круг,nomen substantivum,circulus
62642ce5fc65febd7527ec41,окружность,nomen substantivum,circumferencia
62642ce5fc65febd7527ec42,огибающий,participium,circumflexus
62642ce5fc65febd7527ec43,цистерна,nomen adjectivum,cisterna
62642ce5fc65febd7527ec44,ограда,nomen substantivum,claustrum
62642ce5fc65febd7527ec45,ключица,nomen substantivum,clavicula
62642ce6fc65febd7527ec46,ключичный,nomen adjectivum,clavicularis
62642ce6fc65febd7527ec47,ключичногрудной,nomen adjectivum,clavipectoralis
62642ce6fc65febd7527ec48,клинический,nomen adjectivum,clinicus
62642ce6fc65febd7527ec49,наклоненный,participium,clinoideus
62642ce6fc65febd7527ec4a,клитoр,nomen substantivum,clitoris
62642ce6fc65febd7527ec4b,скат,nomen substantivum,clivus
62642ce6fc65febd7527ec4c,ягодицы,nomen substantivum,clunes
62642ce6fc65febd7527ec4d,копчиковый,nomen adjectivum,coccygealis
62642ce6fc65febd7527ec4e,копчиковый,nomen adjectivum,coccygeus
62642ce6fc65febd7527ec4f,копчик,nomen substantivum,coccyx
62642ce6fc65febd7527ec50,улитка,nomen substantivum,cochlea
62642ce6fc65febd7527ec51,улитковый,nomen adjectivum,cochleariformis
62642ce7fc65febd7527ec52,улитковый,nomen adjectivum,cochlearis
62642ce7fc65febd7527ec53,чревный,nomen adjectivum,coeliacus
62642ce7fc65febd7527ec54,голубоватый,nomen adjectivum,coerules
62642ce7fc65febd7527ec55,ободочнокишечный,nomen adjectivum,colicus
62642ce7fc65febd7527ec56,коллатеральный,nomen adjectivum,collateralis
62642ce7fc65febd7527ec57,бугорок,nomen substantivum,colliculus
62642ce7fc65febd7527ec58,шейка,nomen substantivum,collum
62642ce7fc65febd7527ec59,кишка,nomen substantivum,colon
62642ce7fc65febd7527ec5a,столб,nomen substantivum,columna
62642ce7fc65febd7527ec5b,сопровождающий,participium,comitans
62642ce7fc65febd7527ec5c,спайка,nomen substantivum,commissura
62642ce7fc65febd7527ec5d,комиссуральный,nomen adjectivum,commissuralis
62642ce7fc65febd7527ec5e,соединительный,nomen adjectivum,communicans
